Company,Average_Return,20_day_MA,200_day_MA,Volatility_20,Momentum_30,Average_Volume,environmentScore,socialScore,governanceScore,totalEsg,esgPerformance,highestControversy,totalCurrentAssets,totalNonCurrentAssets,totalLiabilities,commonStockEquity,retainedEarnings,netDebt,tangibleBookValue
MSFT,0.0013880634085379538,422.8300018310547,413.9280331420898,11.71218125703191,0.0365288331021163,20775772.0,,,,,,,,,,268477000000.0,173144000000.0,33315000000.0,121660000000.0
NKE,0.0003092818225034152,82.14601287841796,91.94595001220704,3.4778970594120375,0.14351414737553037,12344926.0,,,,,,,,,,14430000000.0,965000000.0,,13931000000.0
NOW,0.002145954552597223,876.1750061035157,765.4903500366211,34.011369418710984,0.08038871364584566,1314214.0,,,,,,,,,,7628000000.0,2069000000.0,,6173000000.0
NVDA,0.004807121529327413,114.75675468444824,93.94171989440918,6.172921737273939,0.05056411817836759,342764708.0,,,,,,,,,,42978000000.0,29817000000.0,2429000000.0,37436000000.0
OXY,-0.0009317736083495459,52.454435157775876,59.872443771362306,1.9370035837110409,-0.11975197573984031,11059584.0,,,,,,,,,,21963000000.0,19626000000.0,17575000000.0,21963000000.0
PANW,0.0019348324519680386,344.0804977416992,315.94039947509765,7.886408762508483,-0.003471485578736444,3038564.0,,,,,,,,,,5169700000.0,1350200000.0,,1444700000.0
PYPL,0.0015724086798376558,73.14349975585938,63.692324752807615,3.5385553334629622,0.2107650827040679,12843668.0,,,,,,,,,,21051000000.0,23200000000.0,595000000.0,9488000000.0
RY,0.0016224549249018328,122.5009994506836,103.70172393798828,1.3172585363514828,0.12838631708183157,972736.0,,,,,,,,,,110338000000.0,84328000000.0,301512000000.0,91837000000.0
SBUX,0.0006428031317504703,95.20450019836426,86.34201122283936,2.3517441203587532,0.04429290156281973,15832110.0,,,,,,,,,,-7994800000.0,-7255800000.0,11848200000.0,-11333600000.0
SHEL.L,-6.745731768103609e-05,2548.025,2616.6865979003906,58.561141013850076,-0.13437889859205132,13339146.64,,,,,,,,,,186607000000.0,165915000000.0,15058000000.0,159694000000.0
SO,0.001392929077062348,88.97400016784668,75.25855953216552,1.108124174068944,0.0286637174231823,4361128.0,,,,,,,,,,31444000000.0,12482000000.0,61252000000.0,25915000000.0
TDG,0.002230774810255854,1364.2900024414062,1219.1182995605468,39.44682342609452,0.12245666066758476,212444.0,,,,,,,,,,-1984000000.0,-2621000000.0,16278000000.0,-13719000000.0
TJX,0.0012819811376121638,117.80099983215332,102.65956436157227,0.8783048407122841,0.08624258168515819,4957744.0,,,,,,,,,,7302000000.0,6700000000.0,,7207000000.0
TMUS,0.0015972138792930799,199.90050048828124,171.65214477539064,3.190027731010627,0.037775172989251926,4148026.0,,,,,,,,,,64715000000.0,7347000000.0,69883000000.0,-46844000000.0
TSLA,0.0008110613723838748,230.07499923706055,202.52565010070802,15.34169093392103,0.2623894878175188,82993042.0,,,,,,,,,,62634000000.0,27882000000.0,,62019000000.0
TT,0.0028109755738103476,364.32587890625,305.6300680541992,16.97535365582447,0.12090504727009632,1168418.0,,,,,,,,,,6995200000.0,9133700000.0,3684500000.0,-2539900000.0
UBS,0.0011997685880676425,29.770000076293947,29.423599519729613,0.7233110978803757,0.0038847795922460904,1794014.0,,,,,,,,,,86108000000.0,74880000000.0,54971000000.0,78593000000.0
UNP,0.0008806020814252927,250.09599990844725,238.6210693359375,3.7375611752211952,0.013697357400169086,2303638.0,,,,,,,,,,14788000000.0,62093000000.0,31524000000.0,13974000000.0
VZ,0.0016566814674185749,43.384500122070314,39.750660037994386,1.2992161129915882,0.09095347841618251,19610680.0,,,,,,,,,,92430000000.0,82915000000.0,148609000000.0,-97137000000.0
WMT,0.0016930912717074264,78.72599906921387,63.28773120880127,1.5383226784759736,0.16731427234206153,17413512.0,,,,,,,,,,83861000000.0,89814000000.0,30590000000.0,55748000000.0
